Campionato,Data,Giocatore,Punti_totali
1,2025-09-25,Matte,58
1,2025-09-25,Sacha,94
1,2025-09-25,Ale,36
1,2025-09-25,Lozzio,171
1,2025-10-23,Matte,79
1,2025-10-23,Sacha,152
1,2025-10-23,Riky,189
1,2025-10-23,Ale,65
1,2025-10-23,Lozzio,265
1,2025-10-30,Matte,143
1,2025-10-30,Riky,374
1,2025-10-30,Ale,90
1,2025-10-30,Lozzio,364
1,2025-11-3,Matte,245
1,2025-11-3,Riky,409
1,2025-11-3,Ale,154
1,2025-11-3,Lozzio,534
1,2025-11-6,Matte,388
1,2025-11-6,Sacha,186
1,2025-11-6,Riky,494
1,2025-11-6,Ale,206
1,2025-11-12,Matte,488
1,2025-11-12,Sacha,414
1,2025-11-12,Ale,266
1,2025-11-20,Matte,599
1,2025-11-20,Sacha,458
1,2025-11-20,Ale,330
1,2025-11-20,Lozzio,710
1,2025-12-2,Matte,657
1,2025-12-2,Sacha,550
1,2025-12-2,Riky,529
1,2025-12-2,Ale,349
1,2025-12-2,Lozzio,900
1,2025-12-12,Matte,719
1,2025-12-12,Sacha,590
1,2025-12-12,Riky,710
1,2025-12-12,Ale,365
1,2025-12-12,Lozzio,1010
1,2025-12-18,Matte,781
1,2025-12-18,Sacha,733
1,2025-12-18,Riky,802
1,2025-12-18,Ale,382
1,2025-12-25,Sacha,793
1,2025-12-25,Riky,907
1,2025-12-25,Lozzio,1038
1,2025-12-27,Sacha,832
1,2025-12-27,Riky,968
1,2025-12-27,Lozzio,1145
1,2025-12-29,Riky,1104
1,2025-12-29,Lozzio,1228
2,2026-01-6,Matte,151
2,2026-01-6,Sacha,98
2,2026-01-6,Mirko,104
2,2026-01-8,Sacha,181
2,2026-01-8,Riky,163
2,2026-01-8,Mirko,160
2,2026-01-14,Lozzio,189
2,2026-01-14,Ale,101
2,2026-01-19,Riky,365
2,2026-01-19,Lozzio,257
2,2026-01-19,Ale,217
2,2026-01-25,Matte,252
2,2026-01-25,Lozzio,431
2,2026-01-25,Ale,258
2,2026-01-29,Mirko,356
2,2026-01-29,Lozzio,526
2,2026-01-30,Riky,521
2,2026-02-4,Matte,356
2,2026-02-4,Riky,691
2,2026-02-4,Mirko,426
2,2026-02-4,Ale,303
2,2026-02-10,Matte,546
2,2026-02-10,Mirko,537
2,2026-02-12,Sacha,331
2,2026-02-12,Riky,770
2,2026-02-17,Sacha,475
2,2026-02-17,Lozzio,703
2,2026-02-18,Matte,715
2,2026-02-18,Sacha,567
2,2026-02-18,Ale,339
