Campionato,Data,Giocatore,Punti_obiettivo,Scartata
1,2025-09-25,Matte,21,False
1,2025-09-25,Sacha,25,False
1,2025-09-25,Riky,15,True
1,2025-09-25,Ale,19,False
1,2025-09-25,Lozzio,37,False
1,2025-10-23,Matte,12,False
1,2025-10-23,Sacha,21,False
1,2025-10-23,Riky,51,False
1,2025-10-23,Ale,13,False
1,2025-10-23,Lozzio,25,False
1,2025-10-30,Matte,26,False
1,2025-10-30,Sacha,9,True
1,2025-10-30,Riky,48,False
1,2025-10-30,Ale,10,False
1,2025-10-30,Lozzio,29,False
1,2025-11-3,Matte,32,False
1,2025-11-3,Sacha,13,True
1,2025-11-3,Riky,18,False
1,2025-11-3,Ale,26,False
1,2025-11-3,Lozzio,36,False
1,2025-11-6,Matte,43,False
1,2025-11-6,Sacha,24,False
1,2025-11-6,Riky,35,False
1,2025-11-6,Ale,27,False
1,2025-11-12,Matte,50,False
1,2025-11-12,Sacha,78,False
1,2025-11-12,Riky,0,True
1,2025-11-12,Ale,35,False
1,2025-11-20,Matte,39,False
1,2025-11-20,Sacha,25,False
1,2025-11-20,Riky,15,True
1,2025-11-20,Ale,26,False
1,2025-11-20,Lozzio,41,False
1,2025-12-2,Matte,21,False
1,2025-12-2,Sacha,24,False
1,2025-12-2,Riky,18,False
1,2025-12-2,Ale,10,False
1,2025-12-2,Lozzio,52,False
1,2025-12-12,Matte,25,False
1,2025-12-12,Sacha,22,False
1,2025-12-12,Riky,45,False
1,2025-12-12,Ale,8,False
1,2025-12-12,Lozzio,38,False
1,2025-12-18,Matte,37,False
1,2025-12-18,Sacha,43,False
1,2025-12-18,Riky,42,False
1,2025-12-18,Ale,7,False
1,2025-12-25,Sacha,30,False
1,2025-12-25,Riky,40,False
1,2025-12-25,Lozzio,27,False
1,2025-12-27,Sacha,27,False
1,2025-12-27,Riky,31,False
1,2025-12-27,Lozzio,43,False
1,2025-12-29,Matte,14,True
1,2025-12-29,Sacha,20,True
1,2025-12-29,Riky,36,False
1,2025-12-29,Lozzio,33,False
2,2026-01-6,Matte,51,False
2,2026-01-6,Sacha,48,False
2,2026-01-6,Riky,0,True
2,2026-01-6,Mirko,29,False
2,2026-01-8,Sacha,33,False
2,2026-01-8,Riky,63,False
2,2026-01-8,Mirko,31,False
2,2026-01-8,Lozzio,12,True
2,2026-01-14,Matte,21,True
2,2026-01-14,Sacha,4,True
2,2026-01-14,Riky,22,True
2,2026-01-14,Lozzio,51,False
2,2026-01-14,Ale,31,False
2,2026-01-19,Matte,19,False
2,2026-01-19,Sacha,11,False
2,2026-01-19,Riky,35,False
2,2026-01-19,Mirko,16,True
2,2026-01-19,Lozzio,20,False
2,2026-01-19,Ale,27,False
2,2026-01-25,Matte,31,False
2,2026-01-25,Riky,30,False
2,2026-01-25,Mirko,23,False
2,2026-01-25,Lozzio,39,False
2,2026-01-25,Ale,23,False
