Campionato,Data,Giocatore,Punti_totali,Scartata
1,2025-09-25,Matte,58,False
1,2025-09-25,Sacha,94,False
1,2025-09-25,Riky,25,True
1,2025-09-25,Ale,36,False
1,2025-09-25,Lozzio,171,False
1,2025-10-23,Matte,21,False
1,2025-10-23,Sacha,58,False
1,2025-10-23,Riky,189,False
1,2025-10-23,Ale,29,False
1,2025-10-23,Lozzio,94,False
1,2025-10-30,Matte,64,False
1,2025-10-30,Sacha,18,True
1,2025-10-30,Riky,185,False
1,2025-10-30,Ale,25,False
1,2025-10-30,Lozzio,99,False
1,2025-11-3,Matte,102,False
1,2025-11-3,Sacha,22,True
1,2025-11-3,Riky,35,False
1,2025-11-3,Ale,64,False
1,2025-11-3,Lozzio,170,False
1,2025-11-6,Matte,143,False
1,2025-11-6,Sacha,34,False
1,2025-11-6,Riky,85,False
1,2025-11-6,Ale,52,False
1,2025-11-12,Matte,100,False
1,2025-11-12,Sacha,228,False
1,2025-11-12,Riky,-40,True
1,2025-11-12,Ale,60,False
1,2025-11-20,Matte,111,False
1,2025-11-20,Sacha,44,False
1,2025-11-20,Riky,25,True
1,2025-11-20,Ale,64,False
1,2025-11-20,Lozzio,176,False
1,2025-12-2,Matte,58,False
1,2025-12-2,Sacha,92,False
1,2025-12-2,Riky,35,False
1,2025-12-2,Ale,19,False
1,2025-12-2,Lozzio,190,False
1,2025-12-12,Matte,62,False
1,2025-12-12,Sacha,40,False
1,2025-12-12,Riky,181,False
1,2025-12-12,Ale,16,False
1,2025-12-12,Lozzio,110,False
1,2025-12-18,Matte,62,False
1,2025-12-18,Sacha,143,False
1,2025-12-18,Riky,92,False
1,2025-12-18,Ale,17,False
1,2025-12-25,Sacha,60,False
1,2025-12-25,Riky,105,False
1,2025-12-25,Lozzio,28,False
1,2025-12-27,Sacha,39,False
1,2025-12-27,Riky,61,False
1,2025-12-27,Lozzio,107,False
1,2025-12-29,Matte,19,True
1,2025-12-29,Sacha,30,True
1,2025-12-29,Riky,136,False
1,2025-12-29,Lozzio,83,False
2,2026-01-6,Matte,151,False
2,2026-01-6,Sacha,98,False
2,2026-01-6,Riky,-40,True
2,2026-01-6,Mirko,104,False
2,2026-01-8,Sacha,83,False
2,2026-01-8,Riky,163,False
2,2026-01-8,Mirko,56,False
2,2026-01-8,Lozzio,22,False
2,2026-01-14,Matte,39,True
2,2026-01-14,Sacha,11,True
2,2026-01-14,Riky,59,True
2,2026-01-14,Lozzio,189,False
2,2026-01-14,Ale,101,False
2,2026-01-19,Matte,44,True
2,2026-01-19,Sacha,16,True
2,2026-01-19,Riky,202,False
2,2026-01-19,Mirko,32,False
2,2026-01-19,Lozzio,68,False
2,2026-01-19,Ale,116,False
2,2026-01-25,Matte,101,False
2,2026-01-25,Riky,69,False
2,2026-01-25,Mirko,35,False
2,2026-01-25,Lozzio,174,False
2,2026-01-25,Ale,41,False
2,2026-01-29,Matte,59,False
2,2026-01-29,Sacha,34,True
2,2026-01-29,Riky,20,True
2,2026-01-29,Mirko,196,False
2,2026-01-29,Lozzio,95,False
2,2026-01-30,Matte,94,False
2,2026-01-30,Sacha,32,True
2,2026-01-30,Riky,156,False
2,2026-01-30,Lozzio,61,False
2,2026-02-4,Matte,104,False
2,2026-02-4,Sacha,18,True
2,2026-02-4,Riky,170,False
2,2026-02-4,Mirko,70,False
2,2026-02-4,Ale,45,False
2,2026-02-10,Matte,190,False
2,2026-02-10,Sacha,39,False
2,2026-02-10,Riky,10,True
2,2026-02-10,Mirko,111,False
2,2026-02-10,Lozzio,61,False
2,2026-02-12,Matte,50,True
2,2026-02-12,Sacha,150,False
2,2026-02-12,Riky,79,False
2,2026-02-12,Lozzio,20,True
2,2026-02-17,Matte,54,True
2,2026-02-17,Sacha,144,False
2,2026-02-17,Riky,-40,True
2,2026-02-17,Lozzio,177,False
2,2026-02-18,Matte,169,False
2,2026-02-18,Sacha,94,False
2,2026-02-18,Riky,58,True
2,2026-02-18,Mirko,30,True
2,2026-02-18,Ale,36,False
2,2026-02-25,Matte,182,False
2,2026-02-25,Sacha,62,False
2,2026-02-25,Riky,108,False
2,2026-02-25,Mirko,24,True
2,2026-02-25,Ale,42,False
2,2026-03-05,Matte,184,False
2,2026-03-05,Sacha,35,True
2,2026-03-05,Mirko,91,False
2,2026-03-05,Lozzio,56,False
2,2026-03-05,Ale,24,False
2,2026-03-10,Matte,41,True
2,2026-03-10,Sacha,68,False
2,2026-03-10,Riky,101,False
2,2026-03-10,Mirko,32,True
2,2026-03-10,Ale,165,False
2,2026-03-14,Matte,22,True
2,2026-03-14,Sacha,61,False
2,2026-03-14,Riky,98,False
2,2026-03-14,Mirko,189,False
2,2026-03-14,Ale,41,False
