Data,Giocatore,Punti_totali,Punti_obiettivo
2025-09-25,Sacha,50,50
2025-09-25,Ale,30,30
2025-09-25,Lozzio,71,71
2025-10-23,Sacha,89,39
2025-10-23,Riky,89,89
2025-10-23,Lozzio,121,50
2025-10-30,Matte,45,45
2025-10-30,Riky,174,85
2025-10-30,Lozzio,176,55
2025-11-3,Matte,104,59
2025-11-3,Riky,203,29
2025-11-3,Ale,75,45
2025-11-3,Lozzio,246,70
2025-11-6,Matte,167,63
2025-11-6,Sacha,118,29
2025-11-6,Riky,253,50
2025-11-6,Ale,112,37
2025-11-12,Matte,232,65
2025-11-12,Sacha,221,103
2025-11-12,Ale,157,45
